iter	Passed	Remaining
0	7	699
1	12	625
2	18	586
3	24	582
4	29	558
5	34	546
6	41	552
7	46	540
8	52	528
9	57	516
10	62	505
11	68	501
12	73	489
13	77	478
14	83	472
15	89	470
16	95	466
17	100	458
18	105	450
19	111	445
20	116	440
21	122	435
22	128	429
23	134	424
24	140	420
25	145	413
26	150	407
27	155	401
28	161	394
29	168	392
30	173	386
31	180	382
32	185	375
33	190	369
34	195	362
35	199	355
36	205	349
37	210	343
38	214	335
39	219	329
40	224	322
41	229	317
42	235	311
43	239	304
44	244	299
45	249	292
46	254	286
47	259	280
48	263	274
49	268	268
50	274	263
51	279	258
52	284	251
53	288	245
54	292	239
55	296	233
56	301	227
57	306	221
58	311	216
59	315	210
60	316	202
61	318	195
62	324	190
63	329	185
64	334	180
65	339	174
66	344	169
67	349	164
68	353	158
69	358	153
70	362	148
71	367	142
72	372	137
73	377	132
74	382	127
75	387	122
76	391	117
77	395	111
78	400	106
79	405	101
80	409	96
81	415	91
82	417	85
83	423	80
84	427	75
85	432	70
86	436	65
87	441	60
88	446	55
89	451	50
90	456	45
91	461	40
92	465	35
93	470	30
94	475	25
95	480	20
96	484	14
97	488	9
98	493	4
99	498	0
